step,split,loss,perplexity,lr,tokens,elapsed_s
2000,train,2.466243,11.7781,2.981624e-04,32768000,888.1
2000,val,2.291383,9.8886,2.981624e-04,32768000,892.7
2020,train,2.353282,10.5200,2.980883e-04,33095680,903.8
2040,train,2.336524,10.3452,2.980127e-04,33423360,913.9
2060,train,2.363844,10.6317,2.979357e-04,33751040,924.5
2080,train,2.414475,11.1839,2.978572e-04,34078720,934.9
2100,train,2.314247,10.1173,2.977772e-04,34406400,945.8
2120,train,2.374090,10.7412,2.976958e-04,34734080,956.0
2140,train,2.272443,9.7031,2.976130e-04,35061760,965.2
2160,train,2.331519,10.2936,2.975287e-04,35389440,975.6
2180,train,2.345597,10.4395,2.974429e-04,35717120,986.6
2200,train,2.336346,10.3434,2.973557e-04,36044800,997.7
2220,train,2.420906,11.2560,2.972670e-04,36372480,1008.7
2240,train,2.311703,10.0916,2.971769e-04,36700160,1019.0
2260,train,2.441900,11.4949,2.970854e-04,37027840,1029.2
2280,train,2.304199,10.0161,2.969924e-04,37355520,1038.7
2300,train,2.352861,10.5156,2.968980e-04,37683200,1048.0
2320,train,2.235973,9.3556,2.968021e-04,38010880,1057.7
2340,train,2.418008,11.2235,2.967048e-04,38338560,1067.6
2360,train,2.272246,9.7012,2.966060e-04,38666240,1077.6
2380,train,2.303253,10.0067,2.965058e-04,38993920,1087.9
2400,train,2.323816,10.2146,2.964042e-04,39321600,1098.0
2420,train,2.284113,9.8170,2.963011e-04,39649280,1108.4
2440,train,2.322304,10.1991,2.961966e-04,39976960,1119.3
2460,train,2.259398,9.5773,2.960907e-04,40304640,1130.1
2480,train,2.313013,10.1048,2.959833e-04,40632320,1140.3
2500,train,2.242415,9.4160,2.958745e-04,40960000,1150.3
2500,val,2.176093,8.8118,2.958745e-04,40960000,1154.4
2520,train,2.267820,9.6583,2.957643e-04,41287680,1165.4
2540,train,2.291664,9.8914,2.956526e-04,41615360,1175.4
2560,train,2.322895,10.2052,2.955395e-04,41943040,1185.6
2580,train,2.213937,9.1517,2.954250e-04,42270720,1195.6
2600,train,2.276170,9.7393,2.953090e-04,42598400,1204.8
2620,train,2.271760,9.6965,2.951917e-04,42926080,1213.8
2640,train,2.231257,9.3116,2.950729e-04,43253760,1224.2
2660,train,2.256959,9.5540,2.949526e-04,43581440,1235.2
2680,train,2.201004,9.0341,2.948310e-04,43909120,1245.7
2700,train,2.373477,10.7346,2.947079e-04,44236800,1255.0
2720,train,2.260251,9.5855,2.945835e-04,44564480,1264.5
2740,train,2.309664,10.0710,2.944576e-04,44892160,1274.1
2760,train,2.181253,8.8574,2.943302e-04,45219840,1284.3
2780,train,2.198428,9.0108,2.942015e-04,45547520,1294.4
2800,train,2.265559,9.6365,2.940714e-04,45875200,1304.4
2820,train,2.356913,10.5583,2.939398e-04,46202880,1314.8
2840,train,2.242822,9.4199,2.938069e-04,46530560,1323.9
2860,train,2.152527,8.6066,2.936725e-04,46858240,1333.1
2880,train,2.190569,8.9403,2.935367e-04,47185920,1342.2
2900,train,2.322355,10.1997,2.933995e-04,47513600,1350.8
2920,train,2.194774,8.9780,2.932609e-04,47841280,1359.3
2940,train,2.277991,9.7571,2.931209e-04,48168960,1367.6
2960,train,2.219487,9.2026,2.929796e-04,48496640,1376.4
2980,train,2.245617,9.4462,2.928368e-04,48824320,1385.1
3000,train,2.230234,9.3020,2.926926e-04,49152000,1394.0
3000,val,2.095118,8.1264,2.926926e-04,49152000,1397.8
3020,train,2.258781,9.5714,2.925470e-04,49479680,1407.0
3040,train,2.240450,9.3976,2.924000e-04,49807360,1415.9
3060,train,2.142426,8.5201,2.922516e-04,50135040,1424.5
3080,train,2.170760,8.7649,2.921019e-04,50462720,1433.5
3100,train,2.159623,8.6679,2.919507e-04,50790400,1442.6
3120,train,2.233905,9.3362,2.917982e-04,51118080,1452.2
